,Organization Name,latitude,longitude
0,Leaf Logistics,40.7214998,-74.0042745
1,Shippo,37.7867914,-122.4040495
2,Nexxiot,47.3861889,8.5172587
3,Nexxiot,49.99254879999999,8.4125409
4,Nexxiot,33.2008489,-96.7123588
5,Nexxiot,59.3366426,18.046789
6,Zuum Transportation,33.6776789,-117.8506491
7,TakeOff,42.36724940000001,-71.2431812
8,Transfix,33.9298601,-84.35050780000002
9,Transfix,40.7527456,-73.9897297
10,Nuvocargo,19.4318149,-99.1940586
11,Nuvocargo,40.7202344,-73.9986357
12,ShipHero,40.587302,-75.60498659999999
13,ShipHero,32.8148113,-97.3449833
14,ShipHero,30.3418492,-81.6360009
15,ShipHero,36.2538685,-115.1051858
16,ShipHero,40.7169028,-111.8982196
17,ShipHero,43.8546714,-79.26097229999999
18,Diebold Nixdorf,41.2555135,-81.4823051
19,Diebold Nixdorf,51.7190886,8.7184817
20,Diebold Nixdorf,33.8688619,-84.4693563
21,Diebold Nixdorf,36.753768,3.0587561
22,Diebold Nixdorf,-33.83400210000001,151.0871403
23,Diebold Nixdorf,48.1836837,16.4139026
24,Diebold Nixdorf,50.8901179,4.2610114
25,Diebold Nixdorf,50.9339305,3.9620628
26,Diebold Nixdorf,-23.5258948,-46.6741803
27,Diebold Nixdorf,42.981289,-81.2421598
28,Diebold Nixdorf,43.6068788,-79.73306459999999
29,Diebold Nixdorf,31.27922,121.44861
30,Diebold Nixdorf,50.04817329999999,14.3063513
31,Diebold Nixdorf,55.6860046,12.3894722
32,Diebold Nixdorf,60.2219575,24.7581448
33,Diebold Nixdorf,48.781112,2.2111838
34,Diebold Nixdorf,52.5327067,13.2684454
35,Diebold Nixdorf,38.0868635,23.8003029
36,Diebold Nixdorf,22.3530995,114.1245663
37,Diebold Nixdorf,47.41644530000001,19.2418639
38,Diebold Nixdorf,17.4350222,78.3840396
39,Diebold Nixdorf,19.1557891,72.85533269999999
40,Diebold Nixdorf,-6.2324044,106.8324008
41,Diebold Nixdorf,53.2906687,-6.4225307
42,Diebold Nixdorf,45.3549261,9.1515289
43,Diebold Nixdorf,49.561163,5.928163899999999
44,Diebold Nixdorf,3.1751772,101.6603153
45,Diebold Nixdorf,19.4273871,-99.1652376
46,Diebold Nixdorf,20.6200893,-100.4135886
47,Diebold Nixdorf,33.5938091,-7.631983200000001
48,Diebold Nixdorf,16.7764685,96.1399159
49,Diebold Nixdorf,52.0656429,5.0906651
50,Diebold Nixdorf,59.9151867,10.8015157
51,Diebold Nixdorf,14.559192,121.0175157
52,Diebold Nixdorf,50.2369529,19.0038811
53,Diebold Nixdorf,52.2188385,20.9666223
54,Diebold Nixdorf,38.7212813,-9.232548
55,Diebold Nixdorf,44.4336995,26.1274736
56,Diebold Nixdorf,1.314741,103.865833
57,Diebold Nixdorf,48.1732291,17.1847344
58,Diebold Nixdorf,48.7068553,21.2460212
59,Diebold Nixdorf,-26.0615285,27.9742488
60,Diebold Nixdorf,40.4875267,-3.6711576
61,Diebold Nixdorf,59.3542667,17.9754871
62,Diebold Nixdorf,47.4194216,8.6300286
63,Diebold Nixdorf,25.0856945,121.5609076
64,Diebold Nixdorf,13.9104279,100.4986804
65,Diebold Nixdorf,40.987199,29.0948418
66,Diebold Nixdorf,50.4501,30.5234
67,Diebold Nixdorf,25.0976119,55.163109
68,Diebold Nixdorf,51.4146822,-0.7786542
69,Diebold Nixdorf,51.4548428,0.2522351
70,Diebold Nixdorf,51.5170355,-0.179513
71,Diebold Nixdorf,21.0078287,105.7973336
72,SmartHop,25.8005921,-80.1974881
73,Vector,37.7810069,-122.3970747
74,Airspace,32.8148447,-96.790631
75,Airspace,52.2912544,4.7075676
76,Airspace,50.0547845,8.596012499999999
77,Airspace,33.1343613,-117.2521307
78,Cobli,-23.5573844,-46.6578674
79,KINEXON,41.87891870000001,-87.637233
80,KINEXON,48.1505277,11.5746764
81,Airhouse,37.7831725,-122.407689
82,Slope.io,37.6284406,-77.5447454
83,Informed.IQ,37.77743600000001,-122.3958189
84,Portal,41.8882322,-87.630592
85,Envisics,52.0238954,-0.7667967
86,Envisics,42.6399152,-83.1726881
87,SimpliRoute,37.39074610000001,-122.0817109
88,SimpliRoute,19.421939,-99.1595614
89,SimpliRoute,-12.1273816,-77.01215959999999
90,SimpliRoute,-33.4200596,-70.6035898
91,SimpliRoute,-34.918954,-56.15178
92,Zonar Systems,47.4378249,-122.2481193
93,Zonar Systems,34.0396845,-84.0311165
94,Zonar Systems,47.6042042,-122.3345827
95,MyCarrier,33.6306688,-111.9173163
96,Expedock,37.801753,-122.4014755
97,3Gtms,41.2719463,-73.13199949999999
98,ARTA,51.50975,-0.1276111
99,ARTA,40.7274061,-74.00605
100,Mi Aguila,4.6904549,-74.0241367
101,Surve Mobility,52.5091264,13.4228978
102,CarbonChain,51.5394336,-0.1495082
103,Exotrail,48.7224525,2.2722045
104,Exotrail,43.60020859999999,1.4556658
105,Deliveright,35.8007008,-80.28282879999999
106,Deliveright,40.6851354,-74.20126119999999
107,Deliveright,33.7415233,-84.5577615
108,Deliveright,35.9361424,-80.0161564
109,Deliveright,28.423616,-81.4017708
110,Deliveright,43.5731099,-116.1966733
111,Deliveright,34.0961116,-117.5450902
112,Deliveright,38.2857417,-77.47361320000002
113,Deliveright,42.1340406,-87.99150350000001
114,Deliveright,29.6764508,-95.5620561
115,Deliveright,32.8621204,-96.6636346
116,Deliveright,42.1710509,-71.352757
117,Deliveright,33.5100579,-86.8242234
118,Deliveright,47.2516817,-122.4211778
119,Deliveright,40.35046759999999,-111.7734834
120,Deliveright,43.4728143,-110.7838139
121,Deliveright,37.6523352,-122.1356548
122,Deliveright,43.0862952,-76.1017121
123,Deliveright,45.5602056,-122.500746
124,Deliveright,38.9614403,-94.7207201
125,Deliveright,39.8114694,-104.9765902
126,Deliveright,33.4462917,-112.1826077
127,Deliveright,32.11026,-110.8439763
128,Deliveright,42.99088039999999,-88.24909
129,Deliveright,39.90908599999999,-86.2373582
130,Deliveright,44.9625891,-93.1814625
131,Deliveright,41.22054929999999,-95.9811284
132,Deliveright,35.9989587,-86.6129859
133,Deliveright,34.6792531,-92.3133848
134,Deliveright,42.87411850000001,-85.5491297
135,Deliveright,39.9796732,-83.0770131
136,Deliveright,43.6823756,-79.6826598
137,Deliveright,42.7185076,-83.2510348
138,Deliveright,40.4916244,-80.3328725
139,Deliveright,44.7924864,-68.83599099999999
140,Intelage,47.6136707,-122.2013072
141,Flare,-1.2582583,36.8050906
142,Transmute,30.2871892,-97.7162757
143,Foxtrot Systems,-23.5344936,-46.6676672
144,Foxtrot Systems,37.7796974,-122.4017869
145,SYNAOS,48.1514277,11.5751985
146,SYNAOS,52.3772891,9.7327901
147,Trax Technologies,34.1447295,-118.3610785
148,Trax Technologies,33.62240450000001,-111.9286812
149,Trax Technologies,32.8690248,-96.9352555
150,Trax Technologies,35.0622011,-89.84252810000001
151,Trax Technologies,9.9799205,-84.1520875
152,Trax Technologies,52.29189539999999,4.7096246
153,Trax Technologies,22.538198,114.038308
154,Trax Technologies,14.5408671,121.0503183
155,Trax Technologies,10.3338299,123.8941434
156,FreightVerify,42.2809486,-83.7463684
157,MARS Auto,37.566535,126.9779692
158,MARS Auto,39.2000415,-75.5555708
159,Banyan Technology,41.4729745,-81.96362429999999
160,FleetPanda,37.5366033,-122.3269607
161,Tracks,52.45314,13.38517
162,Cohealo,42.3587826,-71.05962459999999
163,Advanced Call Center Technologies,40.0618782,-75.4685761
164,Wyndy,33.5119225,-86.81254100000001
165,Qucit,44.8061184,-0.5599449
166,Autobon AI,42.1009154,-88.025672
167,CARGGO,41.72983989999999,-88.2073882
168,CARGGO,40.7551279,-73.9861749
169,CARGGO,54.69574,25.2754979
170,InMotion Global - AscendTMS,32.9812114,-97.0151526
171,InMotion Global - AscendTMS,27.932464,-82.3048688
172,ProperGate,52.252077,21.038517
173,Lanetix,52.0880911,4.3201461
174,Lanetix,37.7929158,-122.4046905
175,KoiReader Technologies,12.97194,77.59369
176,KoiReader Technologies,1.332978,103.894846
177,KoiReader Technologies,32.773314,-96.8334793
178,Evertracker,53.6009914,11.4181828
179,Eurosender,49.6039645,6.1366934
180,Eurosender,46.0307254,14.4639834
181,Eurosender,50.46410849999999,30.4792904
182,Swarm Engineering,33.65879710000001,-117.8035663
183,Omnichain,33.923387,-118.4045808
184,BitLog,59.40340029999999,17.9463656
185,FarmTrace,51.642888,5.9287524
186,FarmTrace,33.6860546,-117.8473524
187,Coconut Silo,37.502503,127.0356746
188,Coconut Silo,10.7823432,106.6985216
189,Coconut Silo,37.392429,-121.933612
190,Coconut Silo,36.9861099,120.63195
191,Coconut Silo,28.4942883,77.0889127
192,Spotter,40.7567576,-73.9760823
193,Longbow Advantage,45.5031824,-73.5698065
194,Longbow Advantage,42.2416784,-83.7410858
195,Longbow Advantage,43.5989363,-79.7407111
196,Cultivera,47.6099081,-122.3399526
197,StrongLoop,37.5669986,-122.3237495
198,Efreightsolutions Holdings,34.0510747,-118.1620214
199,Efreightsolutions Holdings,36.0984849,-80.2462436
200,Efreightsolutions Holdings,43.37795819999999,-80.7097035
201,Efreightsolutions Holdings,10.3290473,123.9068258
202,Qv21 Technologies,30.295116,-97.829614
203,Livegistics,42.3643751,-83.0718773
204,Amous,41.8955144,-87.68509039999999
205,Propel,40.4890137,-79.9720183
206,FSI,36.0227724,-86.60375920000001
207,BOXARR,51.4486901,-2.5871475
208,BOXARR,51.5123893,-0.0902511
209,GRIDSMART Technologies,35.9527644,-84.1514385
210,enVista,39.9542919,-86.1566893
211,"Avion Solutions, Inc.",38.6645792,-90.6375296
212,"Avion Solutions, Inc.",34.7298682,-86.6578813
213,"Avion Solutions, Inc.",36.5510381,-87.3955409
214,Synple,51.5941553,4.824253
215,Voltia,48.1893496,16.4047482
216,Voltia,48.1653384,17.1373964
217,In Forma Software,-8.0617652,-34.8717011
218,Aerotronic,45.8027688,-108.5289366
219,Supply Vision,33.6743032,-111.9804746
220,LM2S,48.9542528,2.4560492
221,ForkNAV,58.3547293,26.6825114
222,ForkNAV,56.9810344,24.1851329
223,VeeRoute,60.1497845,29.6450907
224,EEE Innovations,60.22421439999999,24.7546314
225,LogisticxPro,37.3541079,-121.9552356
226,LogisticxPro,1.3005022,103.8522215
227,LogisticxPro,3.1142958,101.5744791
228,ChainGO Tech,39.4715409,-0.3342213
229,ChainGO Tech,40.4204381,-3.7017506
230,Box2Box,43.7338994,-79.83142509999999
231,Cloud Logistics,33.8890148,-84.4661994
232,goCharge,40.7536526,-73.9860102
233,Shipwise,52.50523399999999,13.3931736
234,Sovtes,50.4688257,30.4621588
235,Bucky Box,-41.2931163,174.7821707
236,Agistix,37.79478810000001,-122.3984101
237,ApeSoft,39.0085383,-77.5034453
238,ApeSoft,41.4847715,2.1270519
239,Dayton T. Brown,37.6843628,-97.332753
240,Dayton T. Brown,38.3583554,-76.5719414
241,Dayton T. Brown,40.7719271,-73.0971552
242,Dayton T. Brown,41.3164856,-73.0931641
243,Idle Free Systems,43.060161,-89.51492239999999
244,Hi-G-Tek,39.1092145,-77.1541785
245,Hi-G-Tek,32.0211339,34.8626674
246,CellWand Communications,43.6479916,-79.377735
