,Organization Name,latitude,longitude,Organization Name URL,Operating Status,Total Funding Amount Currency (in USD),Estimated Revenue Range
52,Diebold Nixdorf,50.2369529,19.0038811,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
53,Diebold Nixdorf,52.2188385,20.9666223,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
54,Diebold Nixdorf,38.7212813,-9.232548,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
55,Diebold Nixdorf,44.4336995,26.1274736,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
56,Diebold Nixdorf,1.314741,103.865833,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
57,Diebold Nixdorf,48.1732291,17.1847344,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
58,Diebold Nixdorf,48.7068553,21.2460212,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
59,Diebold Nixdorf,-26.0615285,27.9742488,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
60,Diebold Nixdorf,40.4875267,-3.6711576,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
61,Diebold Nixdorf,59.3542667,17.9754871,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
62,Diebold Nixdorf,47.4194216,8.6300286,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
63,Diebold Nixdorf,25.0856945,121.5609076,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
64,Diebold Nixdorf,13.9104279,100.4986804,https://www.crunchbase.com/organization/diebold-nixdorf,Active,787000000,$1B to $10B
